time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-22T09:05:09.723Z,31.9798,131.9174,41.68,5.2,mww,,78,1.441,1.2,us,us70006bhb,2019-11-22T15:52:54.040Z,"42km ESE of Takanabe, Japan",earthquake,7.1,7,0.08,15,reviewed,us,us
2019-11-22T08:00:11.640Z,18.9916,-65.823,13,2.65,md,6,310,0.7306,0.19,pr,pr2019326011,2019-11-22T11:39:57.607Z,"62km N of Vieques, Puerto Rico",earthquake,6.94,9.66,0.32,5,reviewed,pr,pr
2019-11-22T07:50:40.161Z,55.8337,-161.1107,168.89,4,mb,,91,0.552,0.78,us,us70006bhn,2019-11-22T09:53:18.040Z,"67km NW of Sand Point, Alaska",earthquake,9,14.1,0.138,14,reviewed,us,us
2019-11-22T05:44:36.170Z,36.36933333,-97.70783333,8.84,3.6,mwr,71,35,0,0.18,ok,ok2019wwfw,2019-11-22T21:26:16.177Z,"15km ESE of Enid, Oklahoma",earthquake,,2.5,,27,reviewed,ok,us
2019-11-22T05:08:57.460Z,18.5828,-66.1663,96,2.83,md,11,242,0.286,0.19,pr,pr2019326009,2019-11-22T08:11:50.645Z,"14km NNW of San Juan, Puerto Rico",earthquake,1.95,0.85,0.33,11,reviewed,pr,pr
2019-11-22T04:54:50.040Z,-9.0428,123.9879,99.61,4.9,mb,,79,0.759,1.25,us,us70006bea,2019-11-22T05:12:45.040Z,"65km NNE of Naisano Dua, Indonesia",earthquake,7.8,8.4,0.122,21,reviewed,us,us
2019-11-22T04:12:48.010Z,19.3353,-67.2353,43,3.05,md,4,341,1.0995,0.2,pr,pr2019326008,2019-11-22T08:11:22.837Z,"94km N of San Antonio, Puerto Rico",earthquake,2.75,12.96,0.06,4,reviewed,pr,pr
2019-11-22T03:57:41.070Z,19.2066,-67.3076,13,2.94,md,3,339,1.2164,0.2,pr,pr2019326007,2019-11-22T08:10:59.813Z,"82km NNW of San Antonio, Puerto Rico",earthquake,10.64,15.18,0.14,3,reviewed,pr,pr
2019-11-22T03:56:34.280Z,19.1933,-67.4165,11,3.12,md,6,318,0.7874,0.31,pr,pr2019326006,2019-11-22T08:31:14.670Z,"84km NNW of San Antonio, Puerto Rico",earthquake,14,19.14,0.06,5,reviewed,pr,pr
2019-11-22T03:53:12.070Z,13.0395,-88.6938,71.19,4.3,mb,,165,1.498,1.26,us,us70006be3,2019-11-22T04:24:17.040Z,"31km SSW of Puerto El Triunfo, El Salvador",earthquake,6.7,11.2,0.07,58,reviewed,us,us
2019-11-22T03:25:04.200Z,18.1363,-67.2075,20,2.53,md,12,170,0.1023,0.12,pr,pr2019326000,2019-11-22T03:47:04.343Z,"7km NNW of Puerto Real, Puerto Rico",earthquake,0.48,0.77,0.54,12,reviewed,pr,pr
2019-11-22T02:29:45.745Z,59.7168,-152.4187,61.6,2.6,ml,,,,0.61,ak,ak019ez6kbhb,2019-11-22T04:39:42.676Z,"33km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-11-22T02:03:22.950Z,18.8943,-65.8586,51,2.9,md,4,301,0.7523,0.21,pr,pr2019326003,2019-11-22T06:33:09.588Z,"51km N of Loiza, Puerto Rico",earthquake,3.03,5.31,0.2,4,reviewed,pr,pr
2019-11-22T01:56:34.620Z,18.9788,-65.845,9,3.1,md,13,293,0.711,0.32,pr,pr2019326002,2019-11-22T06:32:54.564Z,"60km N of Loiza, Puerto Rico",earthquake,3,4.38,0.25,12,reviewed,pr,pr
2019-11-22T01:07:58.921Z,61.3403,-149.9906,46.8,4,ml,,,,0.56,ak,ak019ez5u73j,2019-11-22T21:42:29.138Z,"14km NNW of Anchorage, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-21T23:32:10.150Z,19.0153,-65.8,34,3,md,10,297,0.7611,0.26,pr,pr2019325029,2019-11-22T06:33:30.680Z,"65km N of Vieques, Puerto Rico",earthquake,1.79,8.14,0.24,9,reviewed,pr,pr
2019-11-21T22:55:03.773Z,-7.16,129.9967,77.35,5,mww,,24,1.527,1.18,us,us70006bc1,2019-11-21T23:59:42.040Z,"169km WNW of Saumlaki, Indonesia",earthquake,7.1,5.3,0.08,15,reviewed,us,us
2019-11-21T22:51:43.430Z,18.2853,-68.8543,105,3.42,md,8,216,1.3786,0.11,pr,pr2019325027,2019-11-22T01:22:31.040Z,"28km S of La Romana, Dominican Republic",earthquake,2.07,0.96,0.04,3,reviewed,pr,pr
2019-11-21T22:31:58.774Z,32.4879,137.321,400.41,4.9,mb,,57,2.19,0.69,us,us70006bbt,2019-11-22T09:22:35.093Z,"186km SE of Shingu, Japan",earthquake,8.6,7.2,0.035,256,reviewed,us,us
2019-11-21T22:29:23.626Z,-0.9239,97.8809,10,5.2,mb,,59,2.233,1.01,us,us70006bbs,2019-11-21T22:48:08.040Z,"125km W of Sikabaluan, Indonesia",earthquake,3.7,1.9,0.073,62,reviewed,us,us
2019-11-21T21:21:16.268Z,37.7134,-115.9907,14.8,2.6,ml,29,66.01,0.205,0.183,nn,nn00711265,2019-11-22T05:23:55.723Z,"62km SSE of Warm Springs, Nevada",earthquake,,2.2,0.28,19,reviewed,nn,nn
2019-11-21T20:40:25.616Z,59.2175,-152.3623,43,2.5,ml,,,,0.62,ak,ak019extt35q,2019-11-22T01:10:11.040Z,"66km SW of Homer, Alaska",earthquake,,1.6,,,automatic,ak,ak
2019-11-21T20:23:49.662Z,36.0747,139.887,57.12,4.7,mb,,129,1.404,0.73,us,us70006b9c,2019-11-22T15:06:24.909Z,"2km NNW of Iwai, Japan",earthquake,6.8,7.6,0.046,141,reviewed,us,us
2019-11-21T19:43:06.060Z,19.3220005,-155.2176666,2.09,2.57,ml,53,77,0.04109,0.14,hv,hv71245766,2019-11-22T01:04:23.040Z,"12km S of Volcano, Hawaii",earthquake,0.24,0.49,2.93,32,automatic,hv,hv
2019-11-21T19:01:50.205Z,13.6895,-90.9672,58.63,4.4,mb,,189,1.089,1.19,us,us70006b84,2019-11-22T20:59:44.743Z,"30km SSW of Puerto San Jose, Guatemala",earthquake,3,13.8,0.062,75,reviewed,us,us
2019-11-21T18:10:45.618Z,15.8835,-94.8217,40.84,4.2,mb,,180,2.611,0.84,us,us70006b70,2019-11-21T19:43:06.040Z,"39km SSE of San Mateo del Mar, Mexico",earthquake,10.1,20.4,0.063,71,reviewed,us,us
2019-11-21T17:51:54.050Z,40.2931671,-124.7111664,18.16,2.63,md,18,256,0.282,0.16,nc,nc73307086,2019-11-21T20:05:04.074Z,"36km W of Petrolia, CA",earthquake,2.52,0.85,0.17,8,automatic,nc,nc
2019-11-21T17:36:55.871Z,-5.2888,103.5596,65.26,4.8,mb,,87,2.629,0.82,us,us70006b5m,2019-11-21T18:06:09.790Z,"36km SW of Kuripan, Indonesia",earthquake,10.7,9.2,0.09,38,reviewed,us,us
2019-11-21T16:10:46.440Z,18.9995,-65.795,28,2.8,md,8,309,0.7484,0.31,pr,pr2019325025,2019-11-22T16:45:36.040Z,"70km N of Vieques, Puerto Rico",earthquake,1.97,15.13,0.19,8,reviewed,pr,pr
